yearID,W,ERA,RA
1944,61,3.64,658
1944,90,3.44,662
1944,89,3.17,587
1944,105,2.67,490
1944,64,3.49,664
1945,71,3.8,674
1945,87,3.7,724
1945,67,4.04,728
1945,71,3.69,633
1945,98,2.98,532
1945,61,4,694
1945,73,3.31,548
1945,88,2.99,565
1945,78,4.06,700
1945,81,3.45,606
1945,52,3.62,638
1945,46,4.64,865
1945,82,3.76,686
1945,81,3.14,548
1945,95,3.24,583
1945,87,2.92,562
1946,104,3.38,594
1946,96,3.05,570
1946,81,3.35,592
1946,74,3.1,595
1946,82,3.24,581
1946,67,3.08,570
1946,68,3.62,638
1946,92,3.22,567
1946,61,3.92,685
1946,87,3.13,547
1946,49,3.9,680
1946,69,3.99,705
1946,63,3.72,668
1946,66,3.95,710
1946,98,3.01,545
1946,76,3.74,706
1947,83,3.81,669
1947,94,3.82,668
1947,86,3.62,622
1947,70,3.64,661
1947,69,4.04,722
1947,73,4.41,755
1947,80,3.44,588
1947,85,3.57,642
1947,81,4.44,761
1947,97,3.39,568
1947,78,3.51,614
1947,62,3.96,687
1947,62,4.68,817
1947,59,4.33,744
1947,89,3.53,634
1947,64,3.97,675
1948,96,4.26,720
1948,84,3.75,667
1948,91,3.37,584
1948,51,4.89,814
1948,64,4,706
1948,64,4.47,752
1948,97,3.22,568
1948,78,4.15,726
1948,78,3.93,704
1948,94,3.75,633
1948,84,4.43,735
1948,66,4.08,729
1948,83,4.15,699
1948,59,5.01,849
1948,85,3.91,646
1948,56,4.65,796
1949,96,3.97,667
1949,97,3.8,651
1949,75,3.99,719
1949,63,4.3,737
1949,61,4.5,773
1949,62,4.34,770
1949,89,3.36,574
1949,87,3.77,655
1949,73,3.82,693
1949,97,3.69,637
1949,81,4.23,725
1949,81,3.89,668
1949,71,4.57,760
1949,53,5.21,913
1949,96,3.44,616
1949,50,5.1,868
1950,94,4.88,804
1950,89,4.28,724
1950,83,4.14,736
1950,60,4.41,749
1950,64,4.28,772
1950,66,4.32,734
1950,92,3.75,654
1950,95,4.12,713
1950,86,3.71,643
1950,98,4.15,691
1950,52,5.49,913
1950,91,3.5,624
1950,57,4.96,857
1950,58,5.2,916
1950,78,3.97,670
1950,67,4.66,813
1951,87,4.14,725
1951,97,3.88,672
1951,76,3.75,662
1951,81,3.5,644
1951,62,4.34,750
1951,68,3.7,667
1951,93,3.38,594
1951,73,4.29,741
1951,98,3.48,641
1951,98,3.56,621
1951,70,4.47,745
1951,73,3.81,644
1951,64,4.79,845
1951,52,5.18,882
1951,81,3.95,671
1951,62,4.49,764
1952,76,3.8,658
1952,96,3.53,603
1952,64,3.78,651
1952,81,3.25,568
1952,77,3.58,631
1952,69,4.01,659
1952,93,3.32,606
1952,50,4.25,738
1952,92,3.59,639
1952,95,3.14,557
1952,79,4.15,723
1952,87,3.07,552
1952,42,4.65,793
1952,64,4.12,733
1952,88,3.66,630
1952,78,3.37,608
1953,84,3.58,632
1953,105,4.1,689
1953,89,3.41,592
1953,65,4.79,835
1953,68,4.64,788
1953,92,3.64,627
1953,60,5.25,923
1953,92,3.3,589
1953,70,4.25,747
1953,99,3.2,547
1953,59,4.67,799
1953,83,3.8,666
1953,50,5.22,887
1953,54,4.48,778
1953,83,4.23,713
1953,76,3.66,614
1954,54,3.88,668
1954,69,4.01,728
1954,92,4.31,740
1954,94,3.05,521
1954,64,4.51,766
1954,74,4.5,763
1954,111,2.78,504
1954,68,3.81,664
1954,89,3.19,556
1954,97,3.09,550
1954,103,3.26,563
1954,51,5.18,875
1954,75,3.59,614
1954,53,4.92,845
1954,72,4.5,790
1954,66,3.84,680
1955,57,4.21,754
1955,84,3.72,652
1955,98,3.68,650
1955,91,3.37,557
1955,72,4.17,713
1955,75,3.95,684
1955,93,3.39,601
1955,79,3.79,658
1955,63,5.35,911
1955,85,3.85,668
1955,80,3.77,673
1955,96,3.23,569
