Pitches,Year,BA,BABIP,wOBA,xwOBA,xBA,Hits,ABs,Spin Rate,Velocity,W,L,G,BFP,ERA,H,HR,BB,SO,K %,BB %,Hard Hit %,Barrel %,ERA (t+1),xwOBA - wOBA,BFP/G,Luck Adjusted ERA
1707,2018,0.283,0.328,0.33,0.33,0.267,115,406,2423,89.3,4,9,19,449,5.54,115,9,36,77,0.171,0.08,40.4,6.3,2.96,0,23.63157894736842,5.304223716849844
1794,2018,0.262,0.304,0.337,0.356,0.266,106,405,2272,90.6,4,6,20,474,4.89,106,11,58,86,0.181,0.122,39,8.4,6.07,0.01899999999999996,23.7,4.928672358587782
2041,2018,0.281,0.316,0.344,0.338,0.271,140,498,2008,85.4,3,10,26,548,5.31,140,21,38,105,0.192,0.069,40.4,6.7,4.61,-0.00599999999999995,21.076923076923077,5.169859590422903
3493,2018,0.188,0.267,0.252,0.253,0.189,150,797,2302,89.4,18,7,33,866,2.53,150,23,51,300,0.346,0.059,31.7,6.6,2.92,0.0010000000000000009,26.242424242424242,2.9891662504821244
2161,2018,0.24,0.31,0.306,0.312,0.234,118,492,2161,90.1,10,7,22,544,3.74,118,18,38,156,0.287,0.07,38.9,7.3,3.32,0.006000000000000005,24.727272727272727,4.010900575012998
3022,2018,0.256,0.302,0.32,0.335,0.258,167,652,2163,85.2,7,11,27,646,4.57,153,15,70,126,0.195,0.108,34.5,5.8,3.5,0.015000000000000013,23.925925925925927,4.426784971190928
2958,2018,0.262,0.298,0.319,0.324,0.258,181,690,2151,87.3,9,15,31,760,4.34,181,24,50,146,0.192,0.066,33.6,6,4.24,0.0050000000000000044,24.516129032258064,4.259242041425618
1380,2018,0.23,0.254,0.294,0.326,0.252,78,339,2220,84.3,5,3,19,370,3.45,78,11,20,65,0.176,0.054,31,8.3,6.23,0.03200000000000003,19.473684210526315,3.6887550048247917
945,2018,0.286,0.336,0.361,0.371,0.285,55,192,1884,89.4,2,4,11,217,5.54,55,8,22,46,0.212,0.101,46.3,8.7,4.5,0.010000000000000009,19.727272727272727,5.574083000045623
916,2018,0.228,0.245,0.338,0.345,0.233,43,189,2290,91.4,3,3,14,233,5.71,43,8,37,39,0.167,0.159,34.4,6.5,4.63,0.006999999999999951,16.642857142857142,5.289239976552781
