last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Robles, Hansel,570663,192,15.4,29.7,110.6,89,91.1,87.7,436,183,417,61,10.5,32.8,9,4.7,3.2
Claudio, Alex,592222,192,3.3,29.7,110.7,85.8,93,82.3,425,130,397,58,13.0,30.7,8,4.2,3.0
Mengden, Daniel,596043,191,19,30.9,112.6,89.1,92.1,88.7,417,180,388,69,15.4,36.1,11,5.8,4.2
Bradley, Archie,605151,189,11.7,39.2,113.6,88.8,93.3,85.9,423,165,401,73,12.6,38.6,9,4.8,2.8
Lugo, Seth,607625,189,14.5,29.6,111.8,88.2,92.7,85.2,437,180,390,64,10.9,33.9,10,5.3,3.2
Gsellman, Robert,607229,188,12.6,29.8,108.4,86,89.7,83.4,424,153,391,58,11.5,30.9,7,3.7,2.5
Kingham, Nick,592468,188,14.5,34.6,111.8,88.5,92.8,85,456,179,411,64,13.2,34.0,15,8.0,5.8
Brebbia, John,605154,187,23.4,35.8,111.9,87.9,91.7,84.3,413,212,384,70,11.4,38.0,10,5.3,3.3
Lopez, Yoan,661255,187,11.9,36.4,112.7,92.2,94.7,90.7,466,176,416,83,20.0,44.4,18,9.6,7.3
Suero, Wander,593833,186,11,37.6,113.1,89,92.2,86.9,419,172,402,62,10.3,33.3,11,5.9,3.7
Farmer, Buck,571656,186,10,31.2,111.9,89.5,94.1,86,450,176,421,74,13.9,40.0,14,7.5,4.9
Hendriks, Liam,521230,185,21.1,34.1,112,89.8,91.9,90.7,410,197,393,72,10.4,39.6,11,5.9,3.3
Rondon, Hector,444468,185,8.2,27.6,111.9,87.1,91.1,85.8,434,152,398,63,13.3,34.2,13,7.0,5.1
Alvarez, Jose,501625,185,7.7,33.0,112.7,86.1,90.2,83.7,437,153,392,60,11.8,32.4,9,4.9,3.5
Erlin, Robbie,572362,183,9.8,36.6,112.6,87.9,92.1,86.4,424,162,408,65,14.2,35.5,11,6.0,4.4
Garcia, Luis,472610,183,10,33.9,114,88.7,93.7,86,471,168,399,65,13.8,35.7,14,7.7,5.0
Jackson, Luke,592426,181,2.4,27.1,115.9,88.8,92.3,87.2,446,131,415,61,10.0,33.7,13,7.2,4.1
Baez, Pedro,520980,180,21.6,27.8,110.2,87.4,91.2,85.5,402,190,384,47,8.3,26.6,5,2.8,1.8
VerHagen, Drew,572403,180,8.8,30.0,115.1,89.1,93.9,87.3,433,149,395,69,16.4,38.3,13,7.2,5.0
Cimber, Adam,643256,180,4.8,29.4,113.7,87.9,91.1,87.1,427,143,387,62,15.3,34.4,10,5.6,4.1
Alexander, Tyler,641302,179,17.2,32.4,116.8,90.4,94.4,87,450,185,401,73,15.2,40.8,13,7.3,5.5
Straily, Dan,573185,179,21.6,41.3,114.7,91.4,94.6,89.2,447,226,404,88,20.3,49.2,29,16.2,12.3
Swanson, Erik,657024,179,16.4,33.5,114.3,91.4,94.9,88.4,464,189,403,74,15.7,41.3,22,12.3,9.0
Trivino, Lou,642152,178,16,27.0,110.3,86.9,89.7,86.6,432,160,400,56,11.8,32.0,7,3.9,2.6
Castillo, Diego,650895,178,8,22.5,110.7,87.9,92.3,86.1,430,138,416,57,11.2,32.0,10,5.6,3.4
Barlow, Scott,605130,178,14.5,34.8,117.9,88.7,92.4,85.3,470,191,406,66,11.0,37.1,12,6.7,3.9
Dyson, Sam,473879,178,5.4,25.8,112.1,89.9,92.9,88.4,444,138,407,65,15.6,36.5,10,5.6,4.0
Doolittle, Sean,448281,177,24.9,34.5,112.6,90.9,93.5,89.8,456,217,409,74,11.7,42.0,15,8.5,5.8
Ramirez, Noe,598287,176,15.7,34.1,114.4,87.3,93.2,81.1,443,187,390,54,10.6,31.2,10,5.7,3.6
Soria, Joakim,465657,176,15.1,34.7,116,87.4,93.5,82.4,467,182,413,59,11.0,34.3,16,9.1,5.8
Armstrong, Shawn,542888,175,21.1,38.9,111.5,88.1,91.9,84.7,448,199,407,61,11.0,34.9,16,9.1,5.9
Law, Derek,571882,175,8.5,32.6,113.7,89.5,92.1,88,445,162,408,67,13.4,38.3,8,4.6,2.8
Kennedy, Ian,453178,175,14.7,29.7,109.9,88.6,92.8,86.6,423,167,396,59,11.2,33.9,11,6.3,4.1
Gant, John,607231,175,9.6,34.9,111.6,87,88.9,86.8,414,144,388,54,10.4,31.2,5,2.9,1.9
Bummer, Aaron,607481,175,-2.7,18.3,110.3,89.6,92.2,89.2,413,101,390,67,13.7,38.3,4,2.3,1.5
Weaver, Luke,596133,174,14.6,34.5,115,89.9,94.3,88,446,178,402,72,14.7,41.4,11,6.3,4.2
Eickhoff, Jerad,595191,174,16.9,36.2,110.8,89.2,95.3,83.4,426,205,392,68,15.6,39.1,19,10.9,7.8
Cishek, Steve,518553,174,11.4,29.3,113,84.7,89.9,81.7,445,156,409,45,9.3,25.9,10,5.7,3.7
Lamet, Dinelson,659275,173,16.3,37.0,113.3,88.2,91.9,84.8,455,184,403,59,10.4,34.1,14,8.1,4.5
Watson, Tony,453265,173,11.1,34.7,113.7,87.4,92.7,84,456,171,409,55,12.9,31.8,11,6.4,4.8
Green, Chad,643338,172,17.6,39.0,113.3,91.6,95.9,89.5,446,198,383,78,11.6,47.9,20,11.6,6.8
Ryan, Kyle,594986,171,6.1,27.5,114.4,88.9,91.7,88.3,420,144,384,72,15.9,42.1,6,3.5,2.3
Rogers, Taylor,573124,171,6.8,27.5,116.4,88.1,92.4,85.7,419,147,394,49,10.2,29.7,13,7.6,4.7
Colome, Alex,517008,170,10.4,33.5,116.1,91.3,94.1,88.7,408,176,397,70,14.5,41.2,15,8.8,6.0
Morin, Mike,573046,170,14,36.5,118.3,86.6,91,83.5,412,177,383,46,11.9,27.4,10,5.9,4.8
Romo, Sergio,489265,170,19.6,37.1,112,84.9,90.3,79.7,455,198,403,40,8.2,23.5,9,5.3,3.6
Bedrosian, Cam,592135,169,10.3,32.0,111.5,89,92.3,87,420,168,384,61,13.6,36.5,10,5.9,3.9
Albers, Matt,458006,169,7.7,31.4,110.6,87.2,92.1,85,435,153,398,56,13.5,33.1,10,5.9,3.9
Treinen, Blake,595014,169,12.5,31.4,110.3,88,92.3,85.7,474,159,410,58,11.5,34.7,13,7.7,4.9
Greene, Shane,572888,168,13.6,33.9,113.9,89.5,92.7,88.4,462,167,418,66,15.2,39.3,14,8.3,5.6
Iglesias, Raisel,628452,167,20.3,38.3,111.4,87.9,92.8,83.1,419,198,380,54,9.8,32.9,13,7.8,4.7
Gallegos, Giovanny,606149,167,19.6,31.1,115,88.3,92.2,85.1,440,191,406,59,10.3,35.5,12,7.2,4.3
Familia, Jeurys,544727,166,9,31.9,114.2,87.5,91.7,84.9,419,158,397,57,13.2,34.3,10,6.0,3.6
Velazquez, Hector,584171,166,16.1,37.3,112.9,88.4,93.3,86.9,429,174,393,62,13.9,38.0,13,7.8,5.3
Osuna, Roberto,532077,166,13.9,36.7,109.8,86.1,90.7,82,417,176,394,48,9.3,30.0,10,6.0,4.0
Gearrin, Cory,518715,165,8.3,38.2,113,88.6,90.7,87.7,414,168,390,60,14.8,36.8,9,5.5,3.7
Kolarek, Adam,592473,165,0.3,23.0,116.8,87.6,92.2,86.4,430,114,385,59,15.6,35.8,10,6.1,4.4
Parker, Blake,453284,165,14.7,41.8,114.7,88.9,92.4,86.1,444,189,402,65,14.6,39.4,15,9.1,5.9
Brewer, Colten,605155,165,6.7,30.9,111.2,88.8,91.8,87.2,426,150,401,50,11.6,30.5,9,5.5,3.6
Fry, Paul,643316,165,2.9,29.7,113.4,88,92.6,86,408,133,381,59,13.1,35.8,8,4.8,3.1
Civale, Aaron,650644,164,15,31.1,113.8,87,90.3,84.9,409,168,396,54,13.8,32.9,4,2.4,1.8
Harper, Ryne,607560,163,14.8,38.7,114.3,89.2,93.3,86,434,186,395,61,14.5,37.4,11,6.7,4.9
Jansen, Kenley,445276,163,19.3,32.5,114.1,86.4,90.2,84.2,435,183,408,42,7.4,26.1,10,6.1,3.8
Kintzler, Brandon,445213,162,8.4,27.8,111.8,89.4,93.7,86.9,423,151,405,69,18.1,42.6,11,6.8,4.8
Diaz, Jairo,545064,161,8.1,32.3,112.6,90.1,92.8,89.1,431,161,412,68,14.9,42.2,9,5.6,3.7
Garcia, Yimi,554340,161,23.5,29.8,113.2,87.2,91.9,80.4,479,203,404,44,9.3,27.3,12,7.5,4.9
Grace, Matt,594840,159,7.2,36.5,113.5,91.1,94.7,88.2,432,168,407,74,22.6,46.5,19,11.9,9.2
Britton, Zack,502154,159,-8.4,16.4,111.8,87.8,95.3,85.6,457,85,442,56,14.4,36.1,8,5.0,3.3
Herrera, Kelvin,516969,158,18,36.1,112.4,86.7,88.7,87.4,420,175,402,50,11.1,31.6,13,8.2,5.5
May, Trevor,543507,158,18.6,38.6,111.9,87.8,92.3,82.6,426,189,399,55,10.2,34.8,11,7.0,4.1
Pagan, Emilio,641941,157,21.4,28.7,113.7,89.3,94,86.8,461,194,392,54,9.2,34.4,10,6.4,3.7
Jeffress, Jeremy,502026,157,7.7,33.8,109.6,86.9,90.2,85,439,157,417,56,13.3,36.1,9,5.7,4.0
Carpenter, Ryan,543001,157,13.6,39.5,112.3,90.7,93.8,88.8,437,196,389,71,20.9,45.2,15,9.6,7.6
Richard, Clayton,453385,157,5.1,29.9,116.4,92.1,95,91.5,439,141,398,79,23.3,50.3,15,9.6,7.5
Miller, Shelby,571946,157,13.7,34.4,114.9,89.6,93,86.8,472,187,423,62,16.1,39.7,12,7.6,5.5
Banuelos, Manny,544365,157,15.9,36.3,111.6,88.9,91.6,87.4,427,184,407,59,14.6,37.8,13,8.3,5.5
Neris, Hector,593576,156,13,34.0,112.3,88.8,93.8,86.6,432,163,396,56,10.3,35.9,11,7.1,4.0
Brasier, Ryan,518489,156,16.7,36.5,113.1,89,93.2,84.7,434,200,399,53,10.3,35.8,14,9.0,5.8
Wittgren, Nick,621295,156,15.8,31.4,112.6,92.4,94.8,91.2,437,197,393,77,16.9,50.0,15,9.6,6.5
Stephenson, Robert,596112,156,19.1,34.0,109.8,87.3,91.2,84,420,192,388,41,8.0,26.8,8,5.1,3.1
Cole, Taylor,518566,155,7.1,35.5,112.4,86.8,88.1,86.1,410,156,394,58,13.8,37.4,5,3.2,2.2
Swarzak, Anthony,461872,155,12.9,32.9,113.1,89.9,95.6,86,436,167,405,71,17.1,45.8,14,9.0,6.0
Clippard, Tyler,461325,155,23.1,28.4,113.1,85.8,91.2,80.6,446,197,404,44,9.3,28.8,12,7.7,5.0
Leclerc, Jose,600917,154,19.1,37.7,111.5,87.2,92,83.4,427,187,390,43,7.6,28.3,7,4.5,2.3
Harris, Will,501789,153,4.3,29.4,111.3,87.5,89.9,86.5,434,141,404,48,12.2,31.8,9,5.9,3.9
Allard, Kolby,663465,153,10.3,30.7,110.8,88.5,92.2,86.7,427,151,402,55,14.5,35.9,4,2.6,1.9
Ottavino, Adam,493603,152,14.5,29.6,112.6,85.3,90.4,81.4,434,169,404,43,9.6,29.3,7,4.6,2.5
Smeltzer, Devin,656970,151,16.7,31.1,113.2,90.2,93,88,439,184,400,53,14.6,35.1,11,7.3,5.4
Suarez, Ranger,624133,150,5.2,33.3,112.4,87.3,89.2,86.4,421,146,387,52,15.0,34.7,8,5.3,3.9
Elias, Roenis,606273,150,15.6,40.0,114.4,88.7,93.2,82.7,416,197,392,53,12.9,37.3,14,9.3,6.5
Brach, Brad,542960,150,15,30.7,110.7,88.7,90.8,88.8,408,174,379,55,11.5,36.7,6,4.0,2.5
Kelley, Shawn,518875,149,19.3,42.3,107.9,88.3,92.8,82.4,453,220,404,52,12.9,34.9,17,11.4,8.3
Rodriguez, Jefry,622446,149,10,31.5,109.1,90.7,94.7,88.5,429,166,393,65,17.6,43.6,10,6.7,4.9
Garcia, Jarlin,606424,149,11.4,28.2,112.1,88.5,92.4,86.3,400,163,386,48,13.5,32.4,9,6.0,4.4
Nicasio, Juan,504379,149,9.7,36.9,111,89.4,92.1,87.4,444,159,409,58,14.4,38.9,13,8.7,6.0
Jimenez, Joe,641729,148,21.9,32.4,111.5,88.5,92.8,85.2,422,210,386,49,9.3,33.1,16,10.8,6.2
Webb, Tyler,643778,148,15.4,33.1,116,86.4,90.8,82.8,424,176,399,44,10.5,29.9,8,5.4,3.6
Diekman, Jake,518617,148,9.1,35.1,108.3,88,93.1,85.7,423,150,416,47,8.9,31.8,6,4.1,2.1
Hill, Rich,448179,148,10.6,28.4,106.2,86.8,92,83.6,425,155,388,41,9.0,27.7,7,4.7,2.9
Hirano, Yoshihisa,673633,147,11.4,32.0,111.4,88.2,92.3,85.2,416,167,395,43,9.6,29.3,8,5.4,3.4
Givens, Mychal,571710,146,15,41.8,115.5,88.9,94.2,83.4,458,193,402,58,10.6,39.7,16,11.0,6.2
Sadler, Casey,594987,146,9.1,26.7,112.5,88.6,93.2,85.9,421,147,397,53,16.7,36.3,4,2.7,2.1
Martin, Chris,455119,146,8.2,32.9,115.2,88.7,91.8,86.6,443,168,405,59,12.6,40.4,13,8.9,6.0
Burnes, Corbin,669203,145,10.7,35.9,114.4,90,92.3,89.1,453,168,408,58,13.1,40.3,17,11.7,7.2
Keller, Mitch,656605,145,11.3,39.3,115.7,87.6,91.9,83.1,402,170,392,42,8.8,35.3,9,6.2,4.0
Wisler, Matt,605538,145,15.7,32.4,112.6,88.3,92.8,85.4,423,191,396,50,11.0,34.5,9,6.2,4.0
McKay, Brendan,656713,144,17.5,36.1,109.7,91.2,93.4,91,414,196,382,64,14.9,44.4,15,10.4,6.9
Marshall, Evan,605359,144,9.8,24.3,112.7,86.9,92,84.8,435,151,409,44,11.0,30.6,8,5.6,3.8
Floro, Dylan,571670,143,9.9,28.0,111.8,87.7,90.3,87,414,149,409,48,12.6,34.3,8,5.6,4.0
Mayza, Tim,641835,143,6.1,34.3,111,87.1,93.3,82.6,431,164,386,53,12.1,37.1,10,7.0,4.4
Magill, Matt,543483,143,13.7,42.0,111.8,90.9,95,88.3,489,195,414,62,14.5,43.4,13,9.1,5.7
Wood, Hunter,621056,142,19.8,32.4,111.7,87.3,91.4,83.4,418,192,389,45,12.0,31.7,7,4.9,3.6
Pruitt, Austin,643493,142,6.5,34.5,113.1,88.3,93.4,85.4,425,153,403,48,13.9,33.8,11,7.7,5.7
Oberg, Scott,623184,142,8,28.9,114.7,88.2,92.9,86.2,439,151,412,52,12.3,36.6,9,6.3,4.0
Bard, Luke,572703,141,17.8,31.9,112.9,87.5,90.5,86.8,425,179,398,45,12.0,32.6,10,7.1,5.0
Weber, Ryan,543901,141,8.1,31.2,112.2,87.8,92.1,84.9,434,161,401,40,13.3,28.4,6,4.3,3.3
Alcantara, Victor,622505,141,7.9,27.7,112.5,90.9,94.7,89.8,456,149,411,60,16.9,42.6,13,9.2,7.1
Hardy, Blaine,543278,140,12.2,33.6,110.8,86,92.7,81.7,445,161,404,41,12.4,29.3,15,10.7,8.2
Smith, Will,519293,140,13.9,32.9,108,89.6,91.4,89.1,467,172,406,55,11.1,39.3,9,6.4,3.5
Moronta, Reyes,606625,140,17.5,29.3,113.7,87.6,92.1,85.5,451,187,418,50,11.4,35.7,9,6.4,3.7
Glasnow, Tyler,607192,140,10.5,28.6,112.1,87.4,92.1,84.6,451,157,415,45,11.4,32.1,8,5.7,3.5
Johnson, Brian,598271,139,14.2,33.8,114.9,89.3,93.4,86.3,423,189,386,51,16.5,36.7,13,9.4,6.7
Kelly, Joe,523260,139,0.9,27.3,113.5,89.1,95.2,86.6,429,126,398,55,14.7,40.4,8,5.8,3.5
Kittredge, Andrew,552640,138,6.3,31.2,110.9,86.9,92.7,82.9,429,157,387,47,11.0,34.1,7,5.1,3.3
Gott, Trevor,641627,138,13.3,32.6,110.5,88.6,93,86.9,434,175,424,51,11.6,37.0,9,6.5,4.2
Holmes, Clay,605280,138,0.4,31.2,109.2,88.6,94,85.5,422,134,408,53,15.5,39.3,7,5.1,2.9
Kahnle, Tommy,592454,138,6.1,31.2,113.2,88.4,92.4,85.2,425,151,401,49,9.3,36.3,8,5.8,3.2
Kinley, Tyler,641755,138,14.8,37.0,110.2,88,92.3,84.9,400,172,387,45,11.1,32.6,6,4.3,2.7
Duffey, Tyler,608648,138,14.5,37.0,113.5,89.4,92.7,86.1,457,181,407,51,10.3,37.0,11,8.0,4.6
Feliz, Michael,593140,137,18.8,32.1,110,87.7,90.4,86.4,415,180,395,45,9.5,32.8,15,10.9,6.3
Chafin, Andrew,605177,137,12.5,36.5,113.1,87.9,92.2,85.9,421,164,403,50,11.3,36.8,10,7.3,4.4
Fry, Jace,605240,137,4.5,29.2,111.6,89.2,93.4,87.2,443,148,417,54,12.7,39.4,8,5.8,3.2
Hand, Brad,543272,136,20.7,47.8,114.1,88.2,92.1,83.7,427,205,410,52,11.6,38.2,9,6.6,3.7
Ruiz, Jose,614179,136,18.6,33.8,112.4,88.3,91.3,86.9,469,177,412,45,12.0,33.1,10,7.4,5.1
Workman, Brandon,519443,135,9.5,31.9,112,88.2,91.1,86.7,417,152,417,43,8.9,31.9,1,0.7,0.3
Yacabonis, Jimmy,642231,134,15.6,38.1,114.6,90.7,95.2,86.9,455,190,418,54,16.7,40.3,15,11.2,7.8
Anderson, Nick,623433,134,19.6,41.0,109.6,90.2,93.7,87.6,428,212,397,56,9.4,41.8,12,9.0,4.5
Barnes, Matt,598264,134,9.1,29.9,111.6,89.5,91.8,88.7,432,164,385,45,7.8,34.1,7,5.2,2.5
Irvin, Cole,608344,134,15.5,43.3,112.3,85.9,91.5,80.2,437,188,401,44,13.6,32.8,10,7.5,5.5
Rodney, Fernando,407845,133,9.2,30.8,112.8,87.6,90.7,86.1,450,142,418,48,12.2,37.2,10,7.5,4.8
Davis, Wade,451584,133,14.9,39.8,115.9,89.4,91.5,88.5,449,178,414,46,12.5,34.6,10,7.5,4.9
Hellickson, Jeremy,476451,132,15.8,35.6,112.2,86.4,92.2,82.2,458,182,393,47,17.0,35.6,12,9.1,6.6
Peralta, Wily,503449,131,12.2,28.2,113.4,90.3,92.8,88.5,436,167,403,53,17.8,41.4,14,10.7,8.0
Vincent, Nick,543883,131,16.1,37.4,111.7,90,92.5,88.6,438,187,405,51,13.5,39.2,9,6.9,4.6
McGee, Jake,459429,131,15.9,41.2,115.8,90.1,94.7,86.5,443,209,402,54,17.3,41.2,13,9.9,7.2
Guerrero, Tayron,594027,131,13.5,32.1,114.1,90.2,93.8,88,422,177,395,53,11.7,40.5,14,10.7,6.5
Roe, Chaz,475054,131,12.3,35.1,111.5,86.5,88.4,85.7,441,163,416,37,10.6,28.2,5,3.8,2.2
Miller, Andrew,453192,131,17,35.9,110.6,88.5,91.9,87.4,411,189,391,43,10.1,33.1,11,8.4,4.7
Eshelman, Thomas,664045,130,16.7,36.9,110.5,90.5,93.2,89.1,436,195,394,54,18.9,41.5,12,9.2,7.3
Diaz, Edwin,621242,129,16.2,40.3,111.3,90.1,92.6,88,439,198,390,59,10.7,45.7,13,10.1,5.1
Drake, Oliver,543118,129,7.9,27.1,114.4,88.9,93.9,86,429,154,385,52,11.2,40.3,9,7.0,4.1
Vazquez, Felipe,553878,129,14.3,38.0,112.4,87.2,89.8,86.8,467,174,410,48,10.0,37.5,9,7.0,3.8
Garrett, Amir,607237,129,5.1,24.8,109,87.5,92,84.8,408,148,378,41,9.6,32.3,5,3.9,2.0
Brice, Austin,592169,128,13.6,34.4,108.4,88,91.9,86.3,412,168,384,47,13.1,36.7,7,5.5,3.5
Kline, Branden,571858,128,12.1,38.3,111.9,89.9,95.2,87.2,444,178,402,65,20.6,50.8,12,9.4,6.6
Bass, Anthony,542914,128,5.7,27.3,107.9,88,92.5,85.7,432,139,400,46,14.2,36.2,6,4.7,3.2
James, Josh,657624,127,16.9,33.9,110.4,89.7,91.1,89.8,439,192,375,49,9.5,39.2,6,4.7,2.3
Hader, Josh,623352,127,26.7,34.6,110,90.4,93.4,90.1,432,227,403,50,7.2,42.0,16,12.6,5.5
Pressly, Ryan,519151,126,6.8,31.0,110.8,86.6,91.9,82.3,433,153,396,38,8.9,32.5,8,6.3,3.8
Martinez, Carlos,593372,126,7.2,26.2,106.5,87.2,90,85.9,419,140,388,39,10.1,31.2,8,6.3,4.0
Hale, David,571735,126,8.7,28.6,108.3,86.1,90.6,83.5,418,146,409,34,11.4,27.6,3,2.4,1.9
Brennan, Brandon,592165,125,5.3,28.0,113,87.9,94.4,83.8,440,147,391,40,11.8,32.8,10,8.0,5.1
Hernandez, David,456696,124,20.5,38.7,114.4,89.3,91.2,87.7,433,208,399,43,10.9,35.2,11,8.9,5.5
Anderson, Justin,605121,124,18.7,31.5,109.8,88,92.9,85.5,432,185,396,42,10.0,34.4,10,8.1,4.6
Crick, Kyle,605195,123,14.4,25.2,108.7,86.8,92.2,82.2,433,172,398,36,8.5,29.3,8,6.5,3.5
Buchter, Ryan,488748,123,21.6,42.3,110.7,88.6,91,86.5,424,217,394,40,10.8,33.3,9,7.3,4.5
Chapman, Aroldis,547973,123,12.3,37.4,111.2,86.9,90.5,84.8,397,155,377,36,7.7,30.3,6,4.9,2.6
Ponce de Leon, Daniel,594965,123,15.2,25.2,109.1,88.3,90.9,88.6,422,165,406,35,8.3,28.5,8,6.5,3.9
Webb, Logan,657277,122,7.7,36.9,111.4,89.1,92.4,86.3,438,162,410,45,15.6,36.9,7,5.7,4.0
Holder, Jonathan,656547,122,16.1,33.6,111.1,88.3,91.8,86.8,447,188,397,42,12.2,34.4,10,8.2,5.5
Yates, Kirby,489446,122,11,30.3,109.5,86.9,91.6,83.4,433,164,402,44,8.7,36.1,5,4.1,2.1
Peralta, Wandy,593974,122,6.8,31.1,111.6,87.2,91.4,83.4,434,161,400,42,13.3,35.0,11,9.0,6.4
Urquidy, Jose,664353,120,17.8,35.8,109.3,87,92.7,82.1,424,191,392,35,11.0,29.2,12,10.0,7.2
Toussaint, Touki,657053,120,14.1,34.2,113.5,87.9,90.2,86.6,420,169,398,40,12.4,33.3,10,8.3,5.1
Ross, Tyson,475115,118,7.4,33.9,114.1,89.6,95.9,85.9,420,154,386,51,20.1,43.2,14,11.9,8.6
Taillon, Jameson,592791,118,7.7,33.1,114.4,89,93.1,86.4,397,152,384,47,16.7,39.8,8,6.8,5.1
Shafer, Justin,596101,117,19,35.0,111.9,88.4,94.1,83.7,432,190,388,39,11.1,33.3,9,7.7,4.9
Ferguson, Caleb,657571,117,14.9,41.9,111.5,87.3,90.5,84,443,189,403,39,9.8,33.3,8,6.8,3.9
Maton, Phil,664208,116,11.6,37.1,107.4,86.8,90,84.3,400,164,379,33,10.7,28.4,6,5.2,3.7
Hartlieb, Geoff,664129,115,8.8,33.9,112.1,90.4,91.5,90,439,165,396,48,14.8,41.7,11,9.6,6.4
Taylor, Josh,657031,114,13.1,32.5,111,86.5,92,82,462,171,411,33,8.0,30.8,8,7.0,4.1
Voth, Austin,608723,114,19.5,29.8,111.1,87.7,91.7,85.8,443,181,399,34,10.4,29.8,5,4.4,2.9
Wingenter, Trey,622259,113,15.2,37.2,112.8,88.7,91.4,88.3,418,182,407,41,9.9,36.3,8,7.1,3.7
Wood, Alex,622072,113,13.4,42.5,115.9,89,92.6,85,463,188,395,38,13.5,33.6,11,9.7,7.2
Almonte, Yency,622075,113,17.3,37.2,112.2,90.7,94.3,88.1,440,211,418,47,15.9,41.6,14,12.4,8.9
Leone, Dominic,608678,112,15.4,41.1,111.6,90.6,94.1,87.1,443,201,425,43,13.0,38.7,14,12.5,7.8
Kluber, Corey,446372,112,13.6,33.9,113.4,86.9,93.5,80.1,417,166,388,43,14.9,38.4,10,8.9,6.0
Otero, Dan,519096,111,4.2,33.3,110.6,89.2,91.5,87.6,416,141,387,40,19.7,36.0,9,8.1,6.9
Poche, Colin,621363,111,30.2,34.2,107.8,89.5,93.2,86.6,416,237,392,42,9.0,37.8,10,9.0,4.8
Tinoco, Jesus,622786,110,10,34.5,111.6,88.7,95.9,82.3,450,188,419,43,15.8,39.1,13,11.8,8.1
Perez, Oliver,424144,110,10.7,34.5,109.4,86.9,90.8,83.7,429,175,387,33,10.3,30.0,5,4.5,2.9
Gonsolin, Tony,664062,110,15.8,29.1,111.4,88.6,93.1,84.9,424,185,400,41,12.7,37.3,3,2.7,1.8
Helsley, Ryan,664854,109,17.9,34.9,111.7,88.2,90.5,86,432,193,405,39,13.1,35.8,7,6.4,4.6
Dugger, Robert,667498,109,15.5,35.8,110.6,90,95.2,84.2,437,190,401,45,17.3,41.3,7,6.4,4.5
Sheffield, Justus,656954,109,7.1,29.4,112,90.7,93.8,88.7,434,148,411,47,15.4,43.1,6,5.5,3.6
Suarez, Andrew,605498,108,9.4,37.0,113.9,89.8,96.4,86.7,458,167,417,39,15.1,36.1,14,13.0,9.5
Giles, Ken,571704,108,15.5,33.3,113.7,88.2,94.2,82.7,446,180,404,38,9.3,35.2,9,8.3,4.3
Sandoval, Patrick,663776,107,9.2,32.7,111.3,88.4,92.2,84.4,421,160,401,37,11.9,34.6,6,5.6,3.6
Reininger, Zac,643617,107,14.1,43.9,112,90.8,93.9,88.2,419,199,390,46,19.9,43.0,14,13.1,10.0
Brigham, Jeff,656257,107,19.7,33.6,110.3,88.4,91.2,86.7,440,194,399,40,12.1,37.4,10,9.3,6.2
Hembree, Heath,592390,106,26.6,41.5,110.5,89,91.3,88.6,440,223,411,37,10.7,34.9,9,8.5,5.2
Duplantier, Jon,641541,106,13.1,32.1,112.6,89.3,92.9,86.7,415,173,384,40,13.5,37.7,8,7.5,4.9
Barnes, Jacob,606930,106,7.3,38.7,110.7,89.2,93.4,86.6,425,166,410,40,14.6,37.7,8,7.5,5.0
Luciano, Elvis,672773,105,13.7,34.3,113.8,89.7,93.2,87.1,398,187,370,44,15.1,41.9,8,7.6,5.0
Littell, Zack,641793,105,14.1,39.0,114.4,91.2,94.5,89.9,424,169,404,50,17.3,47.6,10,9.5,6.8
Hill, Tim,657612,105,3.7,29.5,108.1,88.2,94.1,86.2,425,138,404,36,12.0,34.3,5,4.8,3.1
Melville, Tim,543532,104,13.7,30.8,111.5,90.2,94.2,88.4,487,182,417,36,13.3,35.0,11,10.6,7.7
Strop, Pedro,467008,104,9,30.8,115.4,89.3,94.8,86.2,454,154,415,38,10.7,36.9,10,9.6,5.6
Wright, Mike,605541,103,14.3,37.9,113.5,91.1,93.9,88.7,438,178,388,48,17.7,46.6,8,7.8,5.4
Blach, Ty,621389,102,15.4,46.1,109.5,90.2,93.3,87.7,438,199,403,43,18.7,42.6,7,6.9,5.0
Garcia, Edgar,658305,101,17,35.6,111.1,89.6,93.5,84.2,438,216,406,42,13.5,41.6,13,12.9,7.6
Barraclough, Kyle,607457,101,13.1,39.6,113.8,90.7,92.6,88.5,422,199,400,45,14.1,44.6,14,13.9,8.5
Santiago, Hector,502327,101,21.2,40.6,112.8,89.2,92.7,87.5,421,203,404,39,12.3,38.6,15,14.9,9.2
Cordero, Jimmy,622772,101,3,26.7,112.2,85.4,90.4,82.8,424,124,398,30,10.7,29.7,4,4.0,2.7
Goody, Nick,580792,101,27.3,29.7,107.1,85.3,90.6,80.5,415,201,385,30,8.2,29.7,4,4.0,2.3
Wilson, Justin,458677,101,6.3,34.7,111,85.3,88.8,82.6,384,147,372,28,8.2,27.7,5,5.0,3.0
May, Dustin,669160,100,8.2,34.0,110.5,86.8,89.3,87.7,418,152,404,33,12.4,33.0,6,6.0,4.3
Parsons, Wes,641149,100,8.5,35.0,112.9,89.2,92,87.5,452,168,426,38,13.7,38.0,7,7.0,4.5
Cisnero, Jose,542585,100,17.5,33.0,110.5,87.7,91.5,86.1,454,182,394,36,11.1,36.0,6,6.0,3.7
