name,salary,year
Aaron Wilkerson,535000,2017
Brandon Woodruff,535000,2017
Ervin Santana,13500000,2017
Kyle Gibson,2900000,2017
Jose Berrios,535000,2017
Bartolo Colon,535000,2017
Adalberto Mejia,535000,2017
C.C. Sabathia,25000000,2017
Masahiro Tanaka,22000000,2017
Jaime Garcia,12000000,2017
Michael Pineda,7400000,2017
Sonny Gray,3575000,2017
Luis Severino,550975,2017
Bryan Mitchell,550625,2017
Jordan Montgomery,535000,2017
Caleb Smith,535000,2017
Matt Harvey,5125000,2017
Jacob deGrom,4050000,2017
Zack Wheeler,800000,2017
Noah Syndergaard,605500,2017
Steven Matz,562250,2017
Seth Lugo,543500,2017
Chris Flexen,535000,2017
Kendall Graveman,545000,2017
Sean Manaea,537500,2017
Daniel Mengden,537500,2017
Andrew Triggs,537500,2017
Paul Blackburn,535000,2017
Jharel Cotton,535000,2017
Daniel Gossett,535000,2017
Clay Buchholz,13500000,2017
Henderson Alvarez,750000,2017
Jerad Eickhoff,552000,2017
Vincent Velasquez,547000,2017
Aaron Nola,544000,2017
Zach Eflin,537000,2017
Mark Leiter,535000,2017
Ben Lively,535000,2017
Nick Pivetta,535000,2017
Ivan Nova,8416666,2017
Gerrit Cole,3750000,2017
Jameson Taillon,555500,2017
Chad Kuhl,550000,2017
Trevor Williams,544000,2017
Clayton Richard,2750000,2017
Christian Friedrich,1790000,2017
Jhoulys Chacin,1750000,2017
Colin Rea,545800,2017
Robbie Erlin,545500,2017
Luis Perdomo,544300,2017
Dinelson Lamet,535000,2017
Jordan Lyles,535000,2017
Johnny Cueto,23500000,2017
Jeff Samardzija,19800000,2017
Madison Bumgarner,12200000,2017
Matt Moore,7000000,2017
Ty Blach,536500,2017
Chris Stratton,535000,2017
Felix Hernandez,26857142,2017
Mike Leake,15000000,2017
Hisashi Iwakuma,14000000,2017
Drew Smyly,6850000,2017
Erasmo Ramirez,3125000,2017
James Paxton,2350000,2017
Ariel Miranda,540500,2017
Marco Gonzales,535000,2017
Andrew Moore,535000,2017
Adam Wainwright,19500000,2017
Lance Lynn,8500000,2017
Carlos Martinez,3700000,2017
Michael Wacha,2775000,2017
John Gant,536600,2017
Jack Flaherty,535000,2017
Luke Weaver,535000,2017
Chris Archer,4916666,2017
Alex Cobb,4200000,2017
Jake Odorizzi,4100000,2017
Nathan Eovaldi,2000000,2017
Blake Snell,545000,2017
Jacob Faria,535000,2017
Cole Hamels,22500000,2017
Andrew Cashner,10000000,2017
Miguel Gonzalez,5900000,2017
Martin Perez,4650000,2017
Nick Martinez,540590,2017
Chi Chi Gonzalez,537000,2017
Marco Estrada,14500000,2017
J.A. Happ,13000000,2017
Marcus Stroman,3400000,2017
Brett Anderson,535000,2017
Joseph Biagini,535000,2017
Aaron Sanchez,535000,2017
Cesar Valdez,535000,2017
Max Scherzer,22242857,2017
Stephen Strasburg,18333333,2017
Gio Gonzalez,12000000,2017
Tanner Roark,4315000,2017
Edwin Jackson,1000000,2017
Joe Ross,551000,2017
A.J. Cole,535000,2017
Erick Fedde,535000,2017
