player_name,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Corner %,BAA,SLGA,BABIPA,wOBAA,mlb_id,salary,yearID
John Gant,882,86.56598639455783,86.14748858447489,2215.2027491408935,-0.8484126984126984,0.8666666666666667,0.0011337868480725624,0.2722222222222222,0.4666666666666667,0.33076923076923076,0.35881188118811874,607231,507500,2016
John Lamb,1264,83.70427215189873,84.57064220183486,2032.9872988992379,0.4617879746835443,1.0117088607594937,7.911392405063291e-4,0.30324909747292417,0.5126353790613718,0.33980582524271846,0.3889677419354839,543424,507500,2016
Johnny Barbato,235,89.41489361702128,87.9030701754386,2285.5550458715597,-0.29148936170212764,0.8029787234042554,0.00425531914893617,0.26,0.4,0.3333333333333333,0.36210526315789476,592127,507500,2016
Johnny Cueto,3026,88.37313037723362,87.32082494969819,2145.231350979718,-0.741958967571145,0.9755129053606882,3.3046926635822867e-4,0.23159303882195448,0.3333333333333333,0.29347826086956524,0.2800125156445557,456501,17500000,2016
Jon Gray,2332,91.20591766723842,92.01426729694886,2244.015447523853,-0.4039879931389365,0.9608061749571184,4.288164665523156e-4,0.24220183486238533,0.3908256880733945,0.3050397877984085,0.3196179401993356,592351,509500,2016
Jon Lester,2754,89.267235742826,89.00566108007449,2288.7885127424875,0.35510352342898654,1.1117326552851434,3.6310820624546115e-4,0.21428571428571427,0.34782608695652173,0.2570806100217865,0.28094420600858366,452657,25000000,2016
Jon Moscot,416,86.62115384615385,86.28942307692307,2063.3622047244094,-0.5153846153846154,0.6360576923076923,0.002403846153846154,0.29213483146067415,0.6853932584269663,0.22857142857142856,0.4476,621209,508000,2016
Jonathon Niese,1867,87.0821638993037,86.88524229074889,2040.8224351747463,0.59046598821639,0.7397964649169791,5.356186395286556e-4,0.29653679653679654,0.512987012987013,0.31767955801104975,0.38043650793650796,477003,9000000,2016
Jordan Lyles,779,90.15365853658537,90.56876606683805,2069.4332460732985,-0.4288831835686778,0.7329910141206676,0.0012836970474967907,0.3112244897959184,0.44387755102040816,0.3413173652694611,0.3805357142857143,543475,2975000,2016
Jordan Zimmermann,1707,89.2298769771529,88.48283362727807,2363.822738386308,-0.3690099589923843,1.0392501464557704,5.858230814294083e-4,0.28433734939759037,0.4795180722891566,0.30498533724340177,0.3511830357142857,519455,18000000,2016
Jose Alvarez,830,86.51734939759037,85.77627737226277,2190.744125326371,0.6686746987951807,1.0783132530120483,0.0012048192771084338,0.3127962085308057,0.4265402843601896,0.3712574850299401,0.34410714285714283,501625,507500,2016
Jose Quintana,2877,88.58713938129996,88.24873949579832,2003.94039497307,0.41362530413625304,0.9858185610010427,3.475842891901286e-4,0.24962852897473997,0.4026745913818722,0.2975708502024291,0.3131578947368421,500779,5400000,2016
Jose Ramirez,398,92.21834170854271,91.40982367758187,2300.8201634877382,-0.9351758793969849,1.014824120603015,0.002512562814070352,0.2,0.3,0.2542372881355932,0.29947368421052634,542432,507500,2016
Josh Fields,464,89.48189655172413,89.34451754385965,2161.221729490022,-0.09482758620689655,0.9717672413793104,0.0021551724137931034,0.27102803738317754,0.4766355140186916,0.3611111111111111,0.3523076923076923,451661,900000,2016
Josh Osich,576,94.01215277777777,93.57422303473491,2287.8429906542056,0.8001736111111111,0.9876736111111111,0.001736111111111111,0.22962962962962963,0.43703703703703706,0.23300970873786409,0.35238709677419355,592612,512500,2016
Josh Tomlin,2265,85.07629139072847,84.10618231046931,2471.6956920256644,-0.1069757174392936,0.8861810154525387,4.415011037527594e-4,0.2603648424543947,0.46102819237147596,0.2698744769874477,0.3228685897435898,458708,2250000,2016
Juan Nicasio,1984,91.76219758064516,90.9375,2076.4997163925127,-0.5246975806451613,1.2537802419354838,5.040322580645161e-4,0.2628992628992629,0.457002457002457,0.33093525179856115,0.35256521739130436,504379,3000000,2016
Julio Teheran,2774,86.41935832732516,86.22777981651376,2206.768566493955,-0.5468997837058399,0.8695746214852199,3.604902667627974e-4,0.21374045801526717,0.35877862595419846,0.25052192066805845,0.2846077032810271,527054,3466666,2016
Jumbo Diaz,604,93.36506622516556,93.63930348258707,2201.6403846153844,-0.3162251655629139,0.9350993377483444,0.0016556291390728477,0.21705426356589147,0.4108527131782946,0.22826086956521738,0.31141843971631206,471822,525000,2016
Junichi Tazawa,721,88.2246879334258,86.22887029288702,2155.849083215797,-0.4015256588072122,0.6768377253814147,0.0013869625520110957,0.22560975609756098,0.39634146341463417,0.2777777777777778,0.29977401129943504,547749,3375000,2016
Justin Grimm,781,88.82445582586428,89.12624495289367,2197.7011019283746,0.09987195902688861,0.5021766965428938,0.0012804097311139564,0.25,0.3869047619047619,0.336283185840708,0.32789473684210524,518748,1275000,2016
Justin Miller,771,91.10155642023346,91.36505524861879,2334.7798013245033,-0.343579766536965,1.1522697795071335,0.0012970168612191958,0.2976190476190476,0.5119047619047619,0.36666666666666664,0.3891191709844559,502522,509500,2016
Justin Verlander,3331,89.92500750525367,89.11816541353383,2533.7043158861343,-0.699699789852897,1.0798558991293905,3.002101471029721e-4,0.21115537848605578,0.36786188579017265,0.2654690618762475,0.28722832722832725,434378,28000000,2016
Justin Wilson,837,93.32918660287082,92.00467065868264,2399.4918032786886,0.41375598086124404,1.386244019138756,0.0011947431302270011,0.25888324873096447,0.3401015228426396,0.34782608695652173,0.288125,458677,1525000,2016
Kelvin Herrera,967,93.07507755946226,92.19906444906445,2241.23311546841,-0.5646328852119958,1.032678386763185,0.001034126163391934,0.2145922746781116,0.33476394849785407,0.29605263157894735,0.27309236947791166,516969,2550000,2016
Ken Giles,1015,92.39714285714285,90.55872210953346,2354.9187432286026,-0.1715270935960591,1.012807881773399,9.852216748768472e-4,0.23275862068965517,0.375,0.3582089552238806,0.30872093023255814,571704,528200,2016
Kendall Graveman,2419,90.57164117403886,90.79044750430293,2242.7246376811595,-0.7129805704836709,0.8880529144274494,4.1339396444811904e-4,0.28688524590163933,0.44098360655737706,0.3101391650099404,0.3471794871794872,608665,512500,2016
Kenley Jansen,902,93.39445676274944,94.71208425720621,2556.9054209919263,0.10354767184035477,1.4441241685144124,0.0011086474501108647,0.14285714285714285,0.23333333333333334,0.2288135593220339,0.19190045248868776,445276,10650000,2016
