player_name,pitch_category,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Corner %,BAA,SLGA,BABIPA,wOBAA
Brandon Kintzler,Off-speed,338,89.8,90.3,1999.8,-1.172,0.696,0.003,0.239,0.398,0.250,0.307
Brandon Woodruff,Fastball,418,96.6,97.0,2456.8,-0.550,1.432,0.002,0.194,0.350,0.333,0.288
Brandon Woodruff,Off-speed,793,91.1,91.5,2267.2,-0.810,0.655,0.001,0.210,0.335,0.244,0.273
Brandon Workman,Fastball,104,92.5,94.4,2113.9,-0.279, 1.451,0.010,0.222,0.556,0.375,0.379
Brandon Workman,Off-speed,291,83.1,84.4,2384.6, 0.434,-0.499,0.003,0.391,0.580,0.462,0.451
Brent Suter,Fastball,369,85.4,83.3,2160.8,-0.312,1.009,0.003,0.219,0.333,0.300,0.274
Brent Suter,Off-speed,147,80.7,80.4,1895.8, 0.468,0.558,0.007,0.346,0.500,0.400,0.369
Brett Anderson,Off-speed,736,85.4,85.1,2018.0,0.729,0.520,0.001,0.273,0.459,0.295,0.352
Brett Martin,Off-speed,149,88.7,88.3,2191.1,0.296,0.368,0.007,0.147,0.353,0.120,0.252
Brooks Raley,Off-speed,297,85.1,84.3,2622.8,-0.427,0.400,0.003,0.175,0.286,0.250,0.289
Brusdar Graterol,Off-speed,282,96.2,95.1,2125.1,-0.659,0.611,0.004,0.215,0.278,0.239,0.269
Bryan Garcia,Off-speed,318,91.7,91.1,2202.2,-0.771,0.844,0.003,0.228,0.253,0.261,0.276
Bryan Shaw,Off-speed,153,88.6,88.1,2433.2,0.481,0.359,0.007,0.433,0.767,0.462,0.551
Bryse Wilson,Fastball,144,94.2,94.7,2177.3,-0.681,1.223,0.007,0.321,0.607,0.350,0.484
Bryse Wilson,Off-speed,169,88.5,89.2,2038.6,-0.443,0.564,0.006,0.265,0.324,0.360,0.281
Buck Farmer,Fastball,180,93.2,92.6,2275.9,-0.953,1.293,0.006,0.214,0.286,0.237,0.239
Buck Farmer,Off-speed,161,85.6,85.2,2027.1,-0.763,0.202,0.006,0.275,0.500,0.286,0.352
Burch Smith,Fastball,110,94.4,95.6,2443.6,-0.709,1.559,0.009,0.097,0.226,0.100,0.155
Cal Quantrill,Off-speed,474,90.5,91.1,2196.5,-0.516,0.683,0.002,0.250,0.357,0.301,0.318
Caleb Baragar,Fastball,260,93.8,94.3,2490.9,0.660,1.586,0.004,0.214,0.414,0.240,0.289
Caleb Ferguson,Fastball,242,95.5,95.3,2267.0,0.794,1.401,0.004,0.245,0.396,0.344,0.300
