name,salary,year
Max Scherzer,22242857,2018
Stephen Strasburg,18333333,2018
Gio Gonzalez,12000000,2018
Tanner Roark,6475000,2018
Jeremy Hellickson,2000000,2018
Joe Ross,567900,2018
Jimmy Cordero,545000,2018
Erick Fedde,545000,2018
Kyle McGowin,545000,2018
Jefry Rodriguez,545000,2018
Austin Voth,545000,2018
