player_name,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Average Balls,Average Barrel,Corner %,Total Strikes,Total Balls,Total Hit,Strike Percent,Ball Percent,Hit Percent,BAA,SLGA,BABIPA,wOBAA,mlb_id,salary,yearID,ERA,W,L,ER,Total Wins,Total Loss,Total ER
Carlos Torres,749,89.17156208277703,88.21475862068965,2245.5014005602243,0.12616822429906543,0.5005340453938585,0.8210947930574098,0.00801068090787717,0.04806408544726302,347,263,139,0.46328437917222964,0.35113484646194926,0.1855807743658211,0.2681564245810056,0.3854748603351955,0.3333333333333333,0.3039473684210527,448614,1050000,2015,4.68,5,6,30,5,6,30
Carter Capps,445,93.5161797752809,96.16022727272727,2282.0407407407406,-0.5485393258426966,0.8703370786516854,0.7213483146067415,0.0044943820224719105,0.060674157303370786,257,137,51,0.5775280898876405,0.30786516853932583,0.1146067415730337,0.16822429906542055,0.24299065420560748,0.3333333333333333,0.22948717948717948,605169,987500,2015,1.16,1,0,4,1,0,4
Casey Fien,823,90.25443499392466,89.59617755856966,2423.1026957637996,-0.22369380315917375,1.1659781287970838,0.8396111786148238,0.018226002430133656,0.03402187120291616,387,270,166,0.47023086269744835,0.32806804374240583,0.20170109356014582,0.2653061224489796,0.413265306122449,0.2929936305732484,0.3063235294117647,502272,2275000,2015,3.55,4,6,25,4,6,25
Charlie Furbush,301,86.84285714285714,87.07636363636364,2223.716911764706,-0.04053156146179402,0.4973421926910299,0.7840531561461794,0.006644518272425249,0.013289036544850499,135,108,58,0.4485049833887043,0.3588039867109635,0.19269102990033224,0.12162162162162163,0.21621621621621623,0.12727272727272726,0.19873417721518988,518703,1600000,2015,2.08,1,1,5,1,1,5
Charlie Morton,1683,88.72453951277481,87.24093107617897,2200.6751515151514,-0.7778371954842543,0.18009506833036246,0.8175876411170528,0.010101010101010102,0.024955436720142603,743,583,357,0.4414735591206179,0.3464052287581699,0.21212121212121213,0.2806603773584906,0.45990566037735847,0.31176470588235294,0.3656465517241379,450203,8000000,2015,4.81,9,9,69,9,9,69
Chris Archer,2960,92.30320945945945,91.40386192754613,2101.4954166666666,-0.16118243243243244,1.167635135135135,0.8547297297297297,0.007432432432432433,0.057432432432432436,1466,1028,466,0.49527027027027026,0.3472972972972973,0.15743243243243243,0.21513353115727002,0.327893175074184,0.2857142857142857,0.2748163265306123,502042,2916667,2015,3.23,12,13,76,12,13,76
Chris Hatcher,553,93.66853526220615,91.86038095238095,2197.9241803278687,-0.6027124773960217,1.1786618444846293,0.864376130198915,0.007233273056057866,0.04159132007233273,271,189,93,0.49005424954792043,0.34177215189873417,0.16817359855334538,0.264,0.392,0.3448275862068966,0.33145985401459854,501822,1065000,2015,3.69,3,5,16,3,5,16
Chris Narveson,253,85.36679841897234,83.08167330677291,2257.3694779116468,0.4197628458498024,1.1719367588932808,0.8695652173913043,0.015810276679841896,0.03162055335968379,123,88,42,0.48616600790513836,0.34782608695652173,0.16600790513833993,0.14754098360655737,0.26229508196721313,0.175,0.20124999999999998,429780,1200000,2015,4.45,3,1,15,3,1,15
Chris Sale,2874,89.54231036882393,88.74586330935252,2211.8838896952107,1.0470772442588727,0.713848295059151,0.7700069589422408,0.006958942240779402,0.029227557411273485,1485,920,469,0.5167014613778705,0.3201113430758525,0.16318719554627698,0.24639769452449567,0.38904899135446686,0.3355855855855856,0.30935309973045816,519242,9150000,2015,3.41,13,11,79,13,11,79
Chris Tillman,2504,88.08929712460063,88.29410077836953,2146.5867219917013,-0.38498402555910544,1.2402955271565494,0.9428913738019169,0.0075878594249201275,0.05910543130990415,1113,925,466,0.4444888178913738,0.36940894568690097,0.18610223642172524,0.26916221033868093,0.4295900178253119,0.3004484304932735,0.34139200000000003,501957,6225000,2015,4.99,11,11,96,11,11,96
