player_name,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Corner %,SO,BAA,SLGA,BABIPA,wOBAA,mlb_id,salary,yearID
Dallas Keuchel,2365,84.9673434856176,84.43820895522389,2075.2018551236747,0.3108714043993232,0.6478426395939086,4.2283298097251583e-4,125,0.2596491228070175,0.42105263157894735,0.2364620938628159,0.32560777957860615,572971,7250000,2016
Dan Jennings,929,88.4665231431647,87.25027746947836,2317.009840098401,0.2318622174381055,0.3978471474703983,0.001076426264800861,39,0.25,0.328125,0.23979591836734693,0.31570175438596487,543359,810000,2016
Daniel Hudson,1010,92.56653465346534,92.61586826347305,2432.6846071044133,-0.8118811881188119,1.1234653465346536,9.900990099009901e-4,51,0.2706422018348624,0.43119266055045874,0.25,0.3509583333333333,543339,2700000,2016
Danny Duffy,2270,91.25198237885462,91.57349557522124,2290.0535885167465,0.45933920704845815,1.2833480176211454,4.405286343612335e-4,169,0.23885918003565063,0.41711229946524064,0.20555555555555555,0.3174461028192372,518633,4225000,2016
Darren O'Day,496,83.38165322580645,84.09666666666666,2193.269230769231,-0.47338709677419355,0.3199596774193548,0.0020161290322580645,37,0.2072072072072072,0.4144144144144144,0.1619047619047619,0.3109836065573771,503285,5854712,2016
David Hernandez,1123,90.03855743544078,88.991763652641,2330.9670658682635,-0.5038290293855744,1.067052537845058,8.904719501335708e-4,70,0.2782258064516129,0.43548387096774194,0.25311203319502074,0.34709090909090906,456696,3900000,2016
David Phelps,1162,91.83907056798623,90.67475555555555,2335.3288650580876,-0.6058519793459552,1.1201376936316696,8.605851979345956e-4,87,0.2139917695473251,0.31275720164609055,0.19583333333333333,0.27148698884758365,475479,2500000,2016
David Price,3171,89.44990536277602,88.3170530327088,2055.068976580045,0.8815141955835962,1.1272870662460568,3.15357931251971e-4,201,0.2661498708010336,0.4263565891472868,0.23841059602649006,0.32735576923076926,456034,30000000,2016
David Robertson,922,89.27060737527115,89.1040348964013,2545,0.301409978308026,0.6626898047722343,0.0010845986984815619,66,0.22388059701492538,0.36318407960199006,0.19796954314720813,0.30634782608695654,502085,11000000,2016
Dillon Gee,1704,86.22605633802817,85.4885663507109,2294.5253623188405,-0.7072183098591549,0.7464201877934272,5.868544600938967e-4,66,0.29901960784313725,0.48284313725490197,0.2608695652173913,0.3763028953229398,518716,2000000,2016
Doug Fister,2570,83.90365758754864,83.84417781274587,1984.1760254878534,-0.6155252918287938,0.783852140077821,3.891050583657588e-4,99,0.2736318407960199,0.44776119402985076,0.24486301369863014,0.35382660687593426,450729,7000000,2016
